city,year,population,growth_rate_pct
Delhi,2015,17988144,2.42
Delhi,2016,18422757,2.42
Delhi,2017,18867871,2.42
Delhi,2018,19323739,2.42
Delhi,2019,19790622,2.42
Delhi,2020,20268785,2.42
Delhi,2021,20758500,2.42
Delhi,2022,21260049,2.42
Delhi,2023,21773714,2.42
Delhi,2024,22299791,2.42
Mumbai,2015,19274257,1.17
Mumbai,2016,19500585,1.17
Mumbai,2017,19729570,1.17
Mumbai,2018,19961244,1.17
Mumbai,2019,20195639,1.17
Mumbai,2020,20432786,1.17
Mumbai,2021,20672718,1.17
Mumbai,2022,20915467,1.17
Mumbai,2023,21161066,1.17
Mumbai,2024,21409550,1.17
Bengaluru,2015,9889983,4.03
Bengaluru,2016,10288726,4.03
Bengaluru,2017,10703544,4.03
Bengaluru,2018,11135087,4.03
Bengaluru,2019,11584029,4.03
Bengaluru,2020,12051072,4.03
Bengaluru,2021,12536944,4.03
Bengaluru,2022,13042406,4.03
Bengaluru,2023,13568247,4.03
Bengaluru,2024,14115288,4.03
Hyderabad,2015,8866776,3.42
Hyderabad,2016,9170459,3.42
Hyderabad,2017,9484544,3.42
Hyderabad,2018,9809385,3.42
Hyderabad,2019,10145352,3.42
Hyderabad,2020,10492826,3.42
Hyderabad,2021,10852201,3.42
Hyderabad,2022,11223884,3.42
Hyderabad,2023,11608298,3.42
Hyderabad,2024,12005877,3.42
Chennai,2015,9667229,2.81
Chennai,2016,9938694,2.81
Chennai,2017,10217782,2.81
Chennai,2018,10504707,2.81
Chennai,2019,10799688,2.81
Chennai,2020,11102954,2.81
Chennai,2021,11414735,2.81
Chennai,2022,11735271,2.81
Chennai,2023,12064808,2.81
Chennai,2024,12403599,2.81
