city,year,LST_Celsius,NDVI,image_count,AQI_mean,AQI_days_with_data,population,growth_rate_pct
Hyderabad,2015.0,36.64,0.149,15,143.42,272.0,8866776,3.42
Hyderabad,2016.0,39.15,0.1366,12,124.24,337.0,9170459,3.42
Hyderabad,2017.0,37.02,0.1443,15,112.33,358.0,9484544,3.42
Hyderabad,2018.0,37.43,0.1461,16,97.56,365.0,9809385,3.42
Hyderabad,2019.0,36.2,0.1413,12,93.98,365.0,10145352,3.42
Hyderabad,2020.0,34.41,0.1601,13,78.17,183.0,10492826,3.42
Hyderabad,2021.0,38.49,0.1498,11,87.93,365.0,10852201,3.42
Hyderabad,2022.0,36.55,0.1407,12,87.86,365.0,11223884,3.42
Hyderabad,2023.0,37.53,0.1488,13,84.29,365.0,11608298,3.42
Hyderabad,2024.0,35.68,0.1447,13,,,12005877,3.42
Delhi,2015.0,34.17,0.1404,30,297.02,365.0,17988144,2.42
Delhi,2016.0,32.17,0.1366,23,301.37,365.0,18422757,2.42
Delhi,2017.0,33.85,0.1466,30,256.73,356.0,18867871,2.42
Delhi,2018.0,33.15,0.1428,27,249.16,365.0,19323739,2.42
Delhi,2019.0,37.45,0.1473,22,232.1,365.0,19790622,2.42
Delhi,2020.0,34.55,0.1609,27,181.67,183.0,20268785,2.42
Delhi,2021.0,30.83,0.1528,25,208.58,365.0,20758500,2.42
Delhi,2022.0,34.18,0.161,33,209.19,365.0,21260049,2.42
Delhi,2023.0,32.64,0.1738,25,203.63,365.0,21773714,2.42
Delhi,2024.0,34.12,0.1594,32,,,22299791,2.42
Mumbai,2015.0,31.37,0.0639,17,110.22,118.0,19274257,1.17
Mumbai,2016.0,31.06,0.0522,15,93.84,314.0,19500585,1.17
Mumbai,2017.0,32.72,0.0546,17,107.46,347.0,19729570,1.17
Mumbai,2018.0,33.51,0.0548,13,102.61,227.0,19961244,1.17
Mumbai,2019.0,32.73,0.0489,15,107.95,365.0,20195639,1.17
Mumbai,2020.0,32.38,0.0578,16,103.57,183.0,20432786,1.17
Mumbai,2021.0,31.85,0.0602,14,112.18,365.0,20672718,1.17
Mumbai,2022.0,32.16,0.0555,16,120.52,365.0,20915467,1.17
Mumbai,2023.0,33.23,0.0636,18,119.82,364.0,21161066,1.17
Mumbai,2024.0,32.4,0.0556,17,,,21409550,1.17
Bengaluru,2015.0,33.2,0.1862,13,112.57,286.0,9889983,4.03
Bengaluru,2016.0,34.53,0.1621,10,105.58,351.0,10288726,4.03
Bengaluru,2017.0,35.94,0.1558,10,87.12,364.0,10703544,4.03
Bengaluru,2018.0,34.42,0.1664,11,86.31,361.0,11135087,4.03
Bengaluru,2019.0,33.96,0.1577,13,91.6,365.0,11584029,4.03
Bengaluru,2020.0,32.85,0.1638,12,79.72,183.0,12051072,4.03
Bengaluru,2021.0,35.45,0.1585,6,69.58,365.0,12536944,4.03
Bengaluru,2022.0,32.87,0.1782,11,78.12,365.0,13042406,4.03
Bengaluru,2023.0,33.59,0.1882,14,72.59,365.0,13568247,4.03
Bengaluru,2024.0,36.78,0.1512,11,,,14115288,4.03
Chennai,2015.0,33.23,0.0988,9,148.33,276.0,9667229,2.81
Chennai,2016.0,32.27,0.1025,13,138.57,334.0,9938694,2.81
Chennai,2017.0,31.55,0.0848,11,104.54,361.0,10217782,2.81
Chennai,2018.0,31.13,0.1044,5,105.49,365.0,10504707,2.81
Chennai,2019.0,32.96,0.0941,10,102.94,365.0,10799688,2.81
Chennai,2020.0,34.08,0.0971,11,80.25,183.0,11102954,2.81
Chennai,2021.0,32.34,0.1052,12,66.21,365.0,11414735,2.81
Chennai,2022.0,29.22,0.1008,9,71.6,365.0,11735271,2.81
Chennai,2023.0,33.07,0.1023,9,78.08,363.0,12064808,2.81
Chennai,2024.0,34.45,0.0957,11,,,12403599,2.81
